"filename", "language", "Dart", "JSON", "comment", "blank", "total"
"/home/brunoamado/StudioProjects/up_invest_front/lib/app/modules/auth/util/credential_dto.dart", "Dart", 6, 0, 0, 2, 8
"/home/brunoamado/StudioProjects/up_invest_front/lib/app/modules/auth/widgets/custom_auth_scaffold.dart", "Dart", 35, 0, 0, 3, 38
"/home/brunoamado/StudioProjects/up_invest_front/lib/app/modules/get_started/get_started_module.dart", "Dart", 10, 0, 0, 3, 13
"/home/brunoamado/StudioProjects/up_invest_front/lib/app/modules/get_started/get_started_page.dart", "Dart", 150, 0, 0, 10, 160
"/home/brunoamado/StudioProjects/up_invest_front/lib/app/modules/home/home_module.dart", "Dart", 10, 0, 0, 3, 13
"/home/brunoamado/StudioProjects/up_invest_front/lib/app/modules/home/page/home_page.dart", "Dart", 77, 0, 0, 7, 84
"/home/brunoamado/StudioProjects/up_invest_front/lib/app/modules/settings/bloc/settings/edit_details_bloc.dart", "Dart", 251, 0, 1, 20, 272
"/home/brunoamado/StudioProjects/up_invest_front/lib/app/modules/settings/bloc/settings/edit_details_event.dart", "Dart", 75, 0, 0, 22, 97
"/home/brunoamado/StudioProjects/up_invest_front/lib/app/modules/settings/bloc/settings/edit_details_state.dart", "Dart", 51, 0, 0, 6, 57
"/home/brunoamado/StudioProjects/up_invest_front/lib/app/modules/settings/bloc/settings_bloc.dart", "Dart", 75, 0, 1, 12, 88
"/home/brunoamado/StudioProjects/up_invest_front/lib/app/modules/settings/bloc/settings_event.dart", "Dart", 25, 0, 0, 5, 30
"/home/brunoamado/StudioProjects/up_invest_front/lib/app/modules/settings/bloc/settings_state.dart", "Dart", 13, 0, 1, 5, 19
"/home/brunoamado/StudioProjects/up_invest_front/lib/app/modules/settings/model/settings_model.dart", "Dart", 16, 0, 1, 7, 24
"/home/brunoamado/StudioProjects/up_invest_front/lib/app/modules/settings/page/edit_details_page.dart", "Dart", 258, 0, 0, 12, 270
"/home/brunoamado/StudioProjects/up_invest_front/lib/app/modules/settings/page/settings_page.dart", "Dart", 52, 0, 0, 6, 58
"/home/brunoamado/StudioProjects/up_invest_front/lib/app/modules/settings/repository/settings_repository.dart", "Dart", 65, 0, 0, 9, 74
"/home/brunoamado/StudioProjects/up_invest_front/lib/app/modules/settings/settings_module.dart", "Dart", 33, 0, 0, 5, 38
"/home/brunoamado/StudioProjects/up_invest_front/lib/app/modules/settings/util/settings_error.dart", "Dart", 49, 0, 6, 12, 67
"/home/brunoamado/StudioProjects/up_invest_front/lib/app/modules/settings/util/settings_success.dart", "Dart", 71, 0, 8, 11, 90
"/home/brunoamado/StudioProjects/up_invest_front/lib/app/modules/settings/widgets/about_us.dart", "Dart", 118, 0, 0, 9, 127
"/home/brunoamado/StudioProjects/up_invest_front/lib/app/modules/settings/widgets/change_theme.dart", "Dart", 149, 0, 1, 15, 165
"/home/brunoamado/StudioProjects/up_invest_front/lib/app/modules/settings/widgets/custom_dialog_actions.dart", "Dart", 33, 0, 0, 4, 37
"/home/brunoamado/StudioProjects/up_invest_front/lib/app/modules/settings/widgets/edit_page_widgets/change_avatar.dart", "Dart", 227, 0, 0, 9, 236
"/home/brunoamado/StudioProjects/up_invest_front/lib/app/modules/settings/widgets/edit_page_widgets/edit_details_row.dart", "Dart", 65, 0, 0, 4, 69
"/home/brunoamado/StudioProjects/up_invest_front/lib/app/modules/settings/widgets/edit_page_widgets/edit_email_widget.dart", "Dart", 86, 0, 0, 5, 91
"/home/brunoamado/StudioProjects/up_invest_front/lib/app/modules/settings/widgets/edit_page_widgets/edit_name_widget.dart", "Dart", 62, 0, 0, 4, 66
"/home/brunoamado/StudioProjects/up_invest_front/lib/app/modules/settings/widgets/edit_page_widgets/edit_password_widget.dart", "Dart", 108, 0, 0, 8, 116
"/home/brunoamado/StudioProjects/up_invest_front/lib/app/modules/settings/widgets/select_language.dart", "Dart", 96, 0, 0, 8, 104
"/home/brunoamado/StudioProjects/up_invest_front/lib/app/modules/settings/widgets/settings_options_row.dart", "Dart", 49, 0, 0, 5, 54
"/home/brunoamado/StudioProjects/up_invest_front/lib/app/modules/settings/widgets/settings_scaffold.dart", "Dart", 55, 0, 0, 5, 60
"/home/brunoamado/StudioProjects/up_invest_front/lib/app/modules/settings/widgets/user_profile_card.dart", "Dart", 53, 0, 0, 3, 56
"/home/brunoamado/StudioProjects/up_invest_front/lib/app/modules/splash_screen/splash_screen.dart", "Dart", 89, 0, 0, 6, 95
"/home/brunoamado/StudioProjects/up_invest_front/lib/app/modules/splash_screen/splash_screen_module.dart", "Dart", 10, 0, 0, 3, 13
"/home/brunoamado/StudioProjects/up_invest_front/lib/app/modules/user/user_model.dart", "Dart", 9, 0, 0, 3, 12
"/home/brunoamado/StudioProjects/up_invest_front/lib/app/my_app.dart", "Dart", 36, 0, 0, 6, 42
"/home/brunoamado/StudioProjects/up_invest_front/test/app/core/adapter/cache_adapter/cache_adapter_test.dart", "Dart", -27, 0, 0, -5, -32
"/home/brunoamado/StudioProjects/up_invest_front/test/app/core/adapter/remote_storage/remote_storage_adapter_test.dart", "Dart", -76, 0, 0, -17, -93
"/home/brunoamado/StudioProjects/up_invest_front/test/app/core/adapter/remote_storage/remote_storage_error_test.dart", "Dart", -37, 0, -6, -5, -48
"/home/brunoamado/StudioProjects/up_invest_front/test/app/core/util/validator_test.dart", "Dart", -157, 0, -49, -20, -226
"/home/brunoamado/StudioProjects/up_invest_front/test/app/modules/auth/adapter/auth_adapter_interface_test.dart", "Dart", -191, 0, -52, -40, -283
"/home/brunoamado/StudioProjects/up_invest_front/test/app/modules/auth/adapter/auth_social_network_adapter_interface_test.dart", "Dart", -31, 0, -4, -5, -40
